Issue Id,Parent Id,Issue Type,Summary,Description,Epic Link
2,,Story,"[Setup] As a Developer, I need a complete, one-command local development environment.","Description: This story covers the initial project scaffolding and Docker orchestration to ensure all services can run locally and communicate with each other using a single `docker-compose up` command.

Acceptance Criteria (AC):
- AC-1: The project is a Git repository with the CCS-specified root structure (`/frontend`, `/backend`, `docker-compose.yml`, etc.).
- AC-2: `docker-compose up --build` successfully builds and runs all services (frontend, backend, postgres, redis, minio, whisper) without errors.
- AC-3: All services are accessible on their specified ports (e.g., Frontend: 3000, Backend: 8000, MinIO: 9000).
- AC-4: The root `.env` and `.env.local` files are present and gitignored, and a complete `.env.template` exists as per the CCS.",ASCEND-1
3,,Task,Initialize Project Structure & Git Repository,Description: Create the initial Git repository and core project layout.,ASCEND-1
4,3,Sub-task,Initialize a Git repository with a main branch,,
5,3,Sub-task,"Create the root .gitignore file, ensuring it includes `.env`, `.env.local`, `node_modules/`, `__pycache__/`, `.DS_Store`, etc.",,
6,3,Sub-task,Create the root `README.md` with the project title and a brief overview.,,
7,3,Sub-task,Create the `/frontend` and `/backend` directories as specified in CCS `<DIRECTORY_STRUCTURE>`.,,
8,3,Sub-task,"Create a root `Makefile` with initial targets for `up`, `down`, `build`, and `logs` to simplify Docker commands.",,
9,,Task,Create Root `docker-compose.yml`,"Description: Define the orchestration for all services required for local development.

Developer Notes: All service definitions must use environment variables for configuration and mount volumes for persistent data where necessary.",ASCEND-1
10,9,Sub-task,"Define the `postgres` service using the `postgres:16` image, mapping a volume to `/var/lib/postgresql/data` for persistence and forwarding port 5432.",,
11,9,Sub-task,Define the `redis` service using the `redis:7` image.,,
12,9,Sub-task,"Define the `minio` service, including environment variables for root user/password, a volume for data persistence, and port mappings for 9000 (API) and 9001 (Console).",,
13,9,Sub-task,Define a placeholder `whisper-service` container that will eventually host the transcription model.,,
14,9,Sub-task,"Define the `backend` service, configured to build from `./backend/Dockerfile`, map port 8000, and set `depends_on` for `postgres` and `redis`.",,
15,9,Sub-task,"Define the `frontend` service, configured to build from `./frontend/Dockerfile`, map port 3000, and set `depends_on` for `backend`.",,
16,,Task,Create Environment Variable Templates,"Description: Create the template file that documents all necessary environment variables for the project.

Developer Notes: This file is critical for onboarding and must be a 1:1 match with the CCS `<ENVIRONMENT_VARIABLES>` section.",ASCEND-1
17,16,Sub-task,Create a root `.env.template` file.,,
18,16,Sub-task,Copy and paste the complete list of variables from the CCS into `.env.template`.,,
19,16,Sub-task,"Create a local `.env` file from the template for immediate use, filling in default local values.",,
20,,Task,Configure MinIO Bucket,"Description: Create a small script or add a command to the `Makefile` to automatically create the required S3 bucket in MinIO on first run.

Developer Notes: MinIO does not create buckets automatically. This prevents a common ""NoSuchBucket"" error during initial setup. Reference `S3_BUCKET_NAME` from the `.env` file.",ASCEND-1
21,,Story,"[Backend] As a Developer, I need a production-ready FastAPI application structure with a configured database.","Description: Build the core backend application, including its file structure, configurations, database models, and migration strategy, strictly following the CCS.

AC:
- AC-1: The backend application runs and serves the FastAPI docs UI at `http://localhost:8000/docs`.
- AC-2: The initial Alembic migration successfully creates all database tables in PostgreSQL.
- AC-3: Pydantic settings management correctly loads environment variables from the `.env` file.
- AC-4: A global exception handler is in place to catch unhandled errors and return a standard JSON error response.",ASCEND-1
22,21,Task,Create Backend Dockerfile and Initial Dependencies,"Description: Define the container environment for the FastAPI application.

Developer Notes: Follow the container security protocols in CCS Section 8.6.4, including creating a non-root user.",
23,22,Sub-task,Create `/backend/Dockerfile` with a multi-stage build to keep the final image slim.,,
24,22,Sub-task,"Create `/backend/requirements.txt` and add initial dependencies: `fastapi`, `uvicorn[standard]`, `sqlalchemy[asyncpg]`, `psycopg2-binary`, `pydantic-settings`, `alembic`, `pgvector`.",,
25,22,Sub-task,"Create a linter configuration file (e.g., `pyproject.toml` for `ruff`) in the `/backend` directory.",,
26,21,Task,Implement Core Application Structure and Settings,Description: Scaffold the backend directory structure and configure environment variable loading.,
27,26,Sub-task,Create the complete directory structure inside `/backend/app/` as defined in CCS `<DIRECTORY_STRUCTURE>`.,,
28,26,Sub-task,Implement settings management in `/app/core/config.py` to load all backend variables using Pydantic `BaseSettings`.,,
29,26,Sub-task,"In `main.py`, implement a global exception handler to catch any unhandled exceptions and return a `500 Internal Server Error` with a standardized JSON body as per the API contract.",,
30,21,Task,Implement Database Models and Session Management,"Description: Define all SQLAlchemy ORM models and the async database session factory.

Developer Notes: Each model must correspond exactly to the SQL schema in the CCS.",
31,30,Sub-task,Configure the asynchronous SQLAlchemy engine and session factory in `/app/db/session.py`.,,
32,30,Sub-task,Define the `User` model in `/app/db/models/user.py`.,,
33,30,Sub-task,Define the `Resume` model in `/app/db/models/resume.py`.,,
34,30,Sub-task,Define the `InterviewSession` model in `/app/db/models/session.py`.,,
35,30,Sub-task,Define the `Recording` model in `/app/db/models/recording.py`.,,
36,30,Sub-task,Define the `Feedback` model in `/app/db/models/feedback.py`.,,
37,30,Sub-task,Define the `KnowledgeBaseChunk` model in `/app/db/models/knowledge_base.py`.,,
38,21,Task,Set Up Database Migration Strategy with Alembic,"Description: Initialize and configure Alembic to manage all database schema changes.

Developer Notes: Follow the explicit instructions in CCS Section `DATABASE MIGRATION STRATEGY (Alembic)`.",
39,38,Sub-task,Run `alembic init alembic` inside the `/backend` directory.,,
40,38,Sub-task,Configure `alembic/env.py` to use the async database URL from `config.py` and target the `Base.metadata`.,,
41,38,Sub-task,"Run `alembic revision --autogenerate -m ""Initial schema""` to create the first migration file.",,
42,38,Sub-task,"Review the generated migration file to ensure it matches the CCS schema, then apply it by adding an `entrypoint.sh` script to the backend Dockerfile that runs `alembic upgrade head` before starting the server.",,
43,,Story,"[Frontend] As a Developer, I need a type-safe Next.js application with foundational UI and state management.","Description: Scaffold the frontend application according to the CCS, ensuring all core libraries are installed and configured for a scalable and maintainable codebase.

AC:
- AC-1: The Next.js app runs in its Docker container and is accessible at `http://localhost:3000`.
- AC-2: TypeScript is configured with `strict: true` and `tsc --noEmit` passes without errors.
- AC-3: The `shadcn/ui` CLI is installed and the initial set of UI components are available.",ASCEND-1
44,43,Task,Create Frontend Dockerfile and Initialize Project,"Description: Set up the Next.js project and its container environment.

Developer Notes: Follow CCS Section 8.6.4 for container security, including a multi-stage build and a non-root user.",
45,44,Sub-task,Create `/frontend/Dockerfile`.,,
46,44,Sub-task,Initialize a Next.js 14 project in `/frontend` using the App Router and TypeScript.,,
47,44,Sub-task,Create the CCS-specified directory structure inside `/frontend/src/`.,,
48,44,Sub-task,Configure ESLint and Prettier for code quality and consistent formatting.,,
49,43,Task,Configure Core Libraries and Tooling,Description: Install and configure all foundational frontend libraries as per the CCS.,
50,49,Sub-task,"Configure `tsconfig.json` with `""strict"": true` and path aliases.",,
51,49,Sub-task,"Install and configure Tailwind CSS 3.x, including `tailwind.config.js` and `globals.css` with the specified design tokens.",,
52,49,Sub-task,Install TanStack Query v5 and set up the `QueryProvider` in `/src/providers/query-provider.tsx`.,,
53,49,Sub-task,Install Zustand and create the initial UI store in `/src/stores/ui-store.ts`.,,
54,49,Sub-task,"Install Axios and create the centralized API instance in `/src/lib/api.ts`, including the JWT request interceptor.",,
55,43,Task,Set Up Base UI Components with shadcn/ui,"Description: Install the core set of UI primitives that will be used throughout the application, as mandated by Directive 9.",
56,55,Sub-task,Initialize `shadcn/ui` in the frontend project.,,
57,55,Sub-task,"Run `npx shadcn-ui@latest add` for the following components: `button`, `card`, `input`, `label`, `dialog`, `alert`, `skeleton`, `toast`, `textarea`, `progress`, `avatar`.",,
